Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Product (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Product (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U)
729,Hariyama,,297,♂,1717,197,8,15,13,80.0,22.0,22.0,Bullet Punch,Superpower,,"2020-04-28 14:45","2020-04-28 14:45",3/13/2020,280.3kg,2.35m,0,0,0,3000,,,,,,,,,94.04%,245,98.14%,112000,104,Hariyama,,0
730,Loudred,,294,♂,524,106,8,12,8,62.2,15.0,15.0,,,,"2020-04-28 14:45","2020-04-28 14:45",4/20/2020,40.72kg,0.98m,0,0,0,1900,59.61%,1655,95.16%,41900,89,Exploud,,0,77.19%,935,91.58%,246400,318,Exploud,,0
731,Kirlia,,281,♂,701,91,5,12,14,68.9,28.0,28.0,,,,"2020-04-28 14:45","2020-04-28 14:45",4/15/2020,,,0,0,0,0,85.35%,601,88.91%,169000,198,Kirlia,,0,80.88%,784,97.37%,14000,112,Gardevoir,,0
732,Swellow,,277,♂,1490,116,12,15,10,82.2,28.0,28.0,Wing Attack,Brave Bird,,"2020-04-28 14:44","2020-04-28 14:44",4/2/2020,,,0,0,0,0,59.12%,1675,95.32%,0,0,Swellow,,0,,,,,,,,
733,Lombre,,271,♂,626,100,0,7,6,28.9,22.0,22.0,Bubble,Grass Knot,,"2020-04-28 14:43","2020-04-28 14:43",4/25/2020,38.07kg,1.21m,0,0,0,3000,92.63%,303,97.51%,24000,121,Ludicolo,,0,10.77%,3655,83.81%,214000,338,Ludicolo,,0
734,Linoone,Normal,264,♀,1396,146,14,8,13,77.8,31.0,31.0,Shadow Claw,Dig,,"2020-04-28 14:41","2020-04-28 14:41",4/25/2020,34.87kg,0.47m,0,0,1,6000,61.56%,1575,94.05%,60000,66,Linoone,Normal,0,92.92%,291,93.90%,140000,174,Linoone,Normal,0
735,Grovyle,,253,♂,815,86,5,4,12,46.7,19.0,19.0,Bullet Seed,Leaf Blade,,"2020-04-28 14:40","2020-04-28 14:40",2/24/2020,,,0,0,2,0,78.00%,902,95.99%,7500,106,Sceptile,,0,58.90%,1684,96.16%,201000,310,Sceptile,,0
736,Houndoom,,229,♂,1388,113,10,13,14,82.2,19.0,19.0,Snarl,Crunch,,"2020-04-28 14:40","2020-04-28 14:40",3/9/2020,52.87kg,1.66m,0,0,3,2500,90.09%,407,97.11%,7500,6,Houndoom,,0,89.06%,449,96.95%,192000,198,Houndoom,,0
737,Skiploom,,188,♀,686,104,12,14,8,75.6,26.0,26.0,Tackle,Energy Ball,,"2020-04-28 14:39","2020-04-28 14:39",3/17/2020,0.85kg,0.58m,0,0,0,4000,85.15%,609,96.21%,130000,236,Jumpluff,,0,92.63%,303,94.09%,186000,314,Jumpluff,,0
738,Noctowl,,164,♂,1238,149,12,13,14,86.7,22.0,22.0,Wing Attack,Night Shade,,"2020-04-28 14:38","2020-04-28 14:38",4/14/2020,28.75kg,1.6m,0,0,4,3000,60.51%,1618,95.33%,32000,28,Noctowl,,0,97.63%,98,96.46%,214000,238,Noctowl,,0
739,Hitmonchan,,107,♂,1314,88,15,15,11,91.1,20.0,20.0,Counter,Power-Up Punch,,"2020-04-28 14:32","2020-04-28 14:32",4/15/2020,69.53kg,1.67m,0,0,0,2500,24.93%,3075,93.81%,14000,13,Hitmonchan,,0,98.34%,69,96.67%,225000,248,Hitmonchan,,0
740,Exeggutor,Normal,103,♂,1491,131,6,1,10,37.8,19.0,19.0,Extrasensory,Solar Beam,,"2020-04-28 14:30","2020-04-28 14:30",3/29/2020,99.86kg,1.76m,0,0,0,2500,62.27%,1546,95.21%,0,0,Exeggutor,Normal,0,,,,,,,,
741,Cloyster,,91,♂,2024,105,10,15,10,77.8,29.0,29.0,Ice Shard,Aurora Beam,,"2020-04-28 14:30","2020-04-28 14:30",3/28/2020,137.95kg,1.49m,0,0,0,5000,,,,,,,,,91.65%,343,96.18%,160000,190,Cloyster,,0
742,Magneton,,82,,1217,83,0,11,7,40.0,19.0,19.0,Spark,Zap Cannon,,"2020-04-28 14:29","2020-04-28 14:29",3/22/2020,52.27kg,0.98m,0,0,4,2500,75.07%,1022,95.83%,22000,20,Magneton,,0,63.05%,1514,96.15%,75000,166,Magnezone,,0
743,Kadabra,,64,♂,1479,91,13,2,12,60.0,27.0,27.0,Psycho Cut,Shadow Ball,,"2020-04-28 14:28","2020-04-28 14:28",4/25/2020,75.26kg,1.4m,0,0,0,4500,10.65%,3660,92.36%,0,0,Kadabra,,0,,,,,,,,
744,Arcanine,,59,♂,1256,113,10,13,12,77.8,15.0,15.0,Fire Fang,Wild Charge,,"2020-04-28 14:28","2020-04-28 14:28",3/1/2020,148.4kg,1.9m,0,0,0,1900,35.43%,2645,94.35%,9800,10,Arcanine,,0,34.60%,2679,95.43%,91400,82,Arcanine,,0
745,Primeape,,57,♂,1139,103,2,8,14,53.3,19.0,19.0,Low Kick,Low Sweep,,"2020-04-28 14:27","2020-04-28 14:27",3/15/2020,25.56kg,0.83m,0,0,4,2500,98.83%,49,98.68%,36000,32,Primeape,,0,60.68%,1611,89.20%,230000,252,Primeape,,0
746,Diglett,Normal,50,♀,332,46,10,7,13,66.7,19.0,19.0,Mud-Slap,Rock Tomb,,"2020-04-28 14:27","2020-04-28 14:27",2/5/2020,0.35kg,0.14m,0,0,1,2500,81.42%,762,94.39%,230000,302,Dugtrio,Normal,0,,,,,,,,
747,Parasect,,47,♂,1341,114,13,11,13,82.2,26.0,26.0,Struggle Bug,X-Scissor,,"2020-04-28 14:27","2020-04-28 14:27",4/20/2020,28.09kg,0.97m,0,0,1,4000,46.30%,2200,94.90%,26000,24,Parasect,,0,96.14%,159,94.99%,186000,214,Parasect,,0
748,Gloom,,44,♂,1006,106,4,11,11,57.8,23.0,23.0,Acid,Sludge Bomb,,"2020-04-28 14:27","2020-04-28 14:27",4/13/2020,9.82kg,0.9m,0,0,1,3500,51.38%,1992,95.21%,10500,109,Bellossom,,0,,,,,,,,
749,Gloom,,44,♀,1199,108,15,12,5,71.1,26.0,26.0,Acid,Sludge Bomb,,"2020-04-28 14:27","2020-04-28 14:27",3/24/2020,11.66kg,0.89m,0,0,1,4000,31.84%,2792,93.43%,98000,96,Gloom,,0,84.86%,621,95.44%,186000,314,Vileplume,,0
750,Golbat,,42,♂,1078,115,9,13,13,77.8,20.0,20.0,Wing Attack,Air Cutter,,"2020-04-28 14:27","2020-04-28 14:27",2/4/2020,63.6kg,1.69m,0,0,2,2500,82.08%,735,96.46%,2500,102,Crobat,,0,,,,,,,,
751,Wigglytuff,,40,♂,1295,202,15,11,15,91.1,24.0,24.0,Pound,Dazzling Gleam,,"2020-04-28 14:26","2020-04-28 14:26",2/16/2020,16.25kg,1.2m,0,0,1,3500,28.67%,2922,93.63%,27500,24,Wigglytuff,,0,97.31%,111,96.19%,201000,226,Wigglytuff,,0
752,Clefable,,36,♀,1211,130,9,14,15,84.4,18.0,18.0,Zen Headbutt,Psychic,,"2020-04-28 14:26","2020-04-28 14:26",2/16/2020,,,0,0,1,0,64.79%,1443,95.59%,20400,18,Clefable,,0,97.46%,105,96.34%,234400,256,Clefable,,0
753,Nidoking,,34,♂,928,98,11,14,13,84.4,13.0,13.0,Iron Tail,Sludge Wave,,"2020-04-28 14:26","2020-04-28 14:26",2/25/2020,69.58kg,1.51m,0,0,1,1600,88.72%,463,96.70%,32800,32,Nidoking,,0,99.85%,7,99.73%,252800,276,Nidoking,,0
754,Nidorino,,33,♂,779,102,10,9,11,66.7,21.0,21.0,,,,"2020-04-28 14:26","2020-04-28 14:26",4/24/2020,,,0,0,2,0,85.23%,606,96.42%,3000,103,Nidoking,,0,80.49%,800,95.15%,220000,344,Nidoking,,0
755,Nidoqueen,,31,♀,1539,141,6,11,14,68.9,23.0,23.0,Bite,Earth Power,,"2020-04-28 14:26","2020-04-28 14:26",3/19/2020,45.7kg,1.19m,0,0,1,3500,,,,,,,,,83.37%,682,92.82%,208000,232,Nidoqueen,,0
756,Nidorina,,30,♀,761,112,12,15,12,86.7,21.0,21.0,,,,"2020-04-28 14:25","2020-04-28 14:25",3/31/2020,,,0,0,2,0,74.73%,1036,96.15%,3000,103,Nidoqueen,,0,98.75%,52,97.34%,220000,344,Nidoqueen,,0
757,Sandshrew,Normal,27,♂,759,95,15,4,15,75.6,22.0,22.0,Mud Shot,Return,,"2020-04-28 14:25","2020-04-28 14:25",3/2/2020,7.99kg,0.47m,0,2,2,2700,19.49%,3298,93.10%,2700,48,Sandslash,Normal,2,90.33%,397,94.21%,192600,273,Sandslash,Normal,2
758,Raichu,Normal,26,♀,953,88,10,13,10,73.3,16.0,16.0,Thunder Shock,Brick Break,,"2020-04-28 14:25","2020-04-28 14:25",3/20/2020,40.98kg,0.97m,0,0,0,1900,74.77%,1034,95.57%,48600,44,Raichu,Normal,0,90.92%,373,93.54%,242600,264,Raichu,Normal,0
759,Raticate,Normal,20,♂,1295,112,6,4,11,46.7,29.0,29.0,Quick Attack,Dig,,"2020-04-28 14:25","2020-04-28 14:25",3/24/2020,17.08kg,0.6m,0,0,1,5000,63.61%,1491,95.31%,104000,112,Raticate,Normal,0,45.84%,2219,86.03%,160000,190,Raticate,Normal,0
760,Charmeleon,,5,♂,21,15,10,10,10,66.7,1.0,1.0,,,,"2020-04-28 14:24","2020-04-28 14:24",7/9/2016,,,0,0,0,0,85.20%,607,96.56%,40000,152,Charizard,,0,66.69%,1365,96.49%,161000,262,Charizard,,0
761,Ivysaur,,2,♂,887,98,7,7,10,53.3,20.0,20.0,,,,"2020-04-28 14:23","2020-04-28 14:23",4/14/2020,,,0,0,2,0,54.41%,1868,95.20%,2500,102,Venusaur,,0,,,,,,,,
762,Stoutland,,508,♂,1430,118,14,14,11,86.7,18.0,18.0,Lick,Crunch,,"2020-04-27 22:52","2020-04-27 22:52",1/23/2020,,,0,0,3,0,27.42%,2973,93.61%,2200,2,Stoutland,,0,,,,,,,,
763,Stoutland,,508,♂,2314,149,13,8,7,62.2,30.0,30.0,Ice Fang,Wild Charge,,"2020-04-27 22:52","2020-04-27 22:52",4/23/2020,,,0,0,0,0,,,,,,,,,15.58%,3458,94.47%,55000,56,Stoutland,,0
764,Blitzle,,522,♀,615,94,12,7,8,60.0,27.0,27.0,,,,"2020-04-27 17:00","2020-04-27 17:00",4/26/2020,,,0,0,1,0,64.86%,1440,83.18%,178000,206,Blitzle,,0,67.30%,1340,90.41%,178000,256,Zebstrika,,0
765,Joltik,,595,♀,741,104,10,11,14,77.8,27.0,27.0,,,,"2020-04-27 16:51","2020-04-27 16:51",4/25/2020,,,0,0,1,0,93.14%,282,91.83%,178000,206,Joltik,,0,92.75%,298,94.31%,178000,256,Galvantula,,0
766,Stunky,,434,♀,510,95,10,5,14,64.4,17.0,17.0,,,,"2020-04-26 19:55","2020-04-26 19:55",4/26/2020,,,0,0,0,0,51.79%,1975,95.01%,34300,81,Skuntank,,0,66.74%,1363,90.38%,238800,310,Skuntank,,0
767,Drilbur,,529,♂,522,85,8,3,10,46.7,15.0,15.0,,,,"2020-04-26 19:54","2020-04-26 19:54",4/26/2020,,,0,0,1,0,69.43%,1253,95.88%,9800,60,Excadrill,,0,38.61%,2515,95.15%,86400,128,Excadrill,,0
768,Feebas,,349,♂,108,53,11,5,15,68.9,16.0,16.0,,,,"2020-04-26 19:54","2020-04-26 19:54",4/26/2020,,,0,0,1,0,41.83%,2383,94.43%,8200,108,Milotic,,0,,,,,,,,
769,Misdreavus,,200,♂,929,90,5,9,1,33.3,19.0,19.0,Hex,Shadow Sneak,,"2020-04-26 08:01","2020-04-26 08:01",3/19/2020,0.67kg,0.69m,0,0,1,2500,59.22%,1671,95.45%,90000,78,Misdreavus,,0,16.90%,3404,89.06%,230000,352,Mismagius,,0
770,Misdreavus,,200,♂,930,95,7,11,13,68.9,18.0,18.0,Astonish,Dark Pulse,,"2020-04-26 08:01","2020-04-26 08:01",3/10/2020,1.47kg,0.88m,0,0,1,2200,84.96%,617,96.98%,74400,66,Misdreavus,,0,94.80%,214,97.45%,234400,356,Mismagius,,0
771,Tangela,,114,♂,949,91,14,14,14,93.3,15.0,15.0,Vine Whip,Solar Beam,,"2020-04-26 08:01","2020-04-26 08:01",4/13/2020,,,0,0,0,0,51.79%,1975,94.76%,41900,39,Tangela,,0,42.52%,2355,95.95%,86400,178,Tangrowth,,0
772,Yanma,,193,♀,1014,118,7,12,11,66.7,26.0,26.0,Wing Attack,Ancient Power,,"2020-04-26 07:59","2020-04-26 07:59",3/29/2020,39.91kg,1.19m,0,0,0,4000,83.96%,658,90.66%,186000,214,Yanma,,0,87.37%,518,97.50%,64000,158,Yanmega,,0
773,Marowak,Normal,105,♂,1028,100,14,12,13,86.7,20.0,20.0,Mud-Slap,Bone Club,,"2020-04-26 07:58","2020-04-26 07:58",3/16/2020,36.45kg,0.82m,0,0,0,2500,28.55%,2927,93.75%,65000,58,Marowak,Normal,0,98.29%,71,96.43%,225000,248,Marowak,Normal,0
774,Miltank,,241,♀,1036,122,14,3,14,68.9,16.0,16.0,Zen Headbutt,Thunderbolt,,"2020-04-26 07:58","2020-04-26 07:58",2/16/2020,80.48kg,1.21m,0,0,0,1900,27.40%,2974,93.63%,34600,32,Miltank,,0,84.79%,624,93.17%,242600,264,Miltank,,0
775,Munchlax,,446,♂,1043,179,10,15,14,86.7,20.0,20.0,Lick,Body Slam,,"2020-04-26 07:58","2020-04-26 07:58",4/15/2020,75.08kg,0.52m,0,0,0,2500,57.46%,1743,95.37%,60500,54,Munchlax,,0,49.62%,2064,95.76%,51500,96,Snorlax,,0
776,Granbull,,210,♀,1053,113,4,6,6,35.6,16.0,16.0,Bite,Close Combat,,"2020-04-26 07:58","2020-04-26 07:58",3/19/2020,41.71kg,1.31m,0,0,1,1900,44.88%,2258,94.26%,31600,29,Granbull,,0,25.18%,3065,87.65%,242600,264,Granbull,,0
777,Castform,Sunny,351,♀,1093,118,15,13,9,82.2,24.0,24.0,Tackle,Solar Beam,,"2020-04-26 07:57","2020-04-26 07:57",2/19/2020,1.16kg,0.35m,0,0,4,3500,61.07%,1595,94.65%,121000,118,Castform,Sunny,0,97.46%,105,96.02%,201000,226,Castform,Sunny,0
778,Primeape,,57,♂,1129,103,1,7,14,48.9,19.0,19.0,Low Kick,Low Sweep,,"2020-04-26 07:57","2020-04-26 07:57",3/13/2020,26.2kg,0.94m,0,0,4,2500,93.70%,259,97.53%,36000,32,Primeape,,0,51.45%,1989,88.16%,230000,252,Primeape,,0
779,Skarmory,,227,♂,1184,104,14,14,12,88.9,20.0,20.0,Air Slash,Flash Cannon,,"2020-04-26 07:56","2020-04-26 07:56",4/8/2020,40.84kg,1.75m,0,0,0,2500,20.76%,3246,93.45%,31000,28,Skarmory,,0,99.00%,42,97.56%,225000,248,Skarmory,,0
780,Hypno,,97,♂,1255,132,9,14,13,80.0,22.0,22.0,Zen Headbutt,Psychic,,"2020-04-26 07:55","2020-04-26 07:55",3/28/2020,72.2kg,1.68m,0,0,4,3000,57.66%,1735,95.15%,28000,24,Hypno,,0,93.43%,270,94.62%,214000,238,Hypno,,0
781,Heatmor,,631,♂,1318,124,11,13,10,75.6,20.0,20.0,Lick,Flamethrower,,"2020-04-26 07:54","2020-04-26 07:54",3/29/2020,48.98kg,1.26m,0,0,0,2500,52.21%,1958,95.15%,14000,13,Heatmor,,0,93.28%,276,94.50%,225000,248,Heatmor,,0
782,Raticate,Normal,20,♂,1337,114,4,8,10,48.9,30.0,30.0,Quick Attack,Hyper Fang,,"2020-04-26 07:54","2020-04-26 07:54",4/6/2020,32.31kg,0.91m,0,0,1,5000,75.70%,996,96.01%,94000,104,Raticate,Normal,0,51.16%,2001,86.67%,150000,182,Raticate,Normal,0
783,Vaporeon,,134,♂,1357,156,9,8,15,71.1,16.0,16.0,Water Gun,Water Pulse,,"2020-04-26 07:53","2020-04-26 07:53",4/24/2020,21.39kg,0.86m,0,0,0,1900,70.16%,1223,95.81%,6000,6,Vaporeon,,0,29.40%,2892,94.74%,82600,74,Vaporeon,,0
784,Furret,,162,♀,1359,145,14,12,8,75.6,28.0,28.0,Sucker Punch,Brick Break,,"2020-04-26 07:53","2020-04-26 07:53",4/14/2020,25.53kg,1.63m,0,0,1,4500,25.40%,3056,93.73%,35000,30,Furret,,0,92.92%,291,93.78%,169000,198,Furret,,0
785,Vaporeon,,134,♂,1361,156,6,14,15,77.8,16.0,16.0,Water Gun,Water Pulse,,"2020-04-26 07:53","2020-04-26 07:53",4/23/2020,23.9kg,0.82m,0,0,0,1900,95.19%,198,97.82%,6000,6,Vaporeon,,0,73.77%,1075,96.73%,82600,74,Vaporeon,,0
786,Weezing,Normal,110,♂,1398,109,11,15,12,84.4,22.0,22.0,Infestation,Dark Pulse,,"2020-04-26 07:53","2020-04-26 07:53",3/2/2020,8.23kg,1.15m,0,0,0,3000,79.73%,831,96.16%,9500,9,Weezing,Normal,0,97.61%,99,96.49%,214000,238,Weezing,Normal,0
787,Electrode,,101,,1427,109,15,14,13,93.3,24.0,24.0,Volt Switch,Thunderbolt,,"2020-04-26 07:53","2020-04-26 07:53",4/3/2020,68.11kg,1.23m,0,0,3,3500,47.79%,2139,94.45%,7000,6,Electrode,,0,99.58%,18,97.98%,201000,226,Electrode,,0
788,Vaporeon,,134,♂,1465,158,13,10,10,73.3,17.0,17.0,Water Gun,Water Pulse,,"2020-04-26 07:52","2020-04-26 07:52",4/24/2020,21.08kg,0.8m,0,0,0,2200,15.41%,3465,92.99%,0,0,Vaporeon,,0,,,,,,,,
789,Flareon,,136,♂,1473,98,11,4,11,57.8,18.0,18.0,Ember,Fire Blast,,"2020-04-26 07:52","2020-04-26 07:52",4/6/2020,21.7kg,0.89m,0,0,0,2200,20.44%,3259,93.04%,0,0,Flareon,,0,,,,,,,,
790,Seviper,,336,♀,1477,128,8,11,12,68.9,26.0,26.0,Poison Jab,Crunch,,"2020-04-26 07:52","2020-04-26 07:52",4/17/2020,53.01kg,2.95m,0,0,0,4000,51.16%,2001,94.98%,0,0,Seviper,,0,,,,,,,,
791,Exeggutor,Normal,103,♀,1478,129,6,13,13,71.1,18.0,18.0,Confusion,Seed Bomb,,"2020-04-26 07:52","2020-04-26 07:52",3/16/2020,158.93kg,2.35m,0,0,0,2200,76.41%,967,95.93%,0,0,Exeggutor,Normal,0,,,,,,,,
792,Jolteon,,135,♂,1484,102,0,6,8,31.1,20.0,20.0,Thunder Shock,Thunderbolt,,"2020-04-26 07:51","2020-04-26 07:51",4/23/2020,25.03kg,0.87m,0,0,0,2500,87.37%,518,96.55%,0,0,Jolteon,,0,,,,,,,,
793,Slowbro,,80,♂,1488,140,5,13,9,60.0,22.0,22.0,Confusion,Water Pulse,,"2020-04-26 07:51","2020-04-26 07:51",3/30/2020,85.35kg,1.69m,0,0,0,3000,81.54%,757,96.41%,0,0,Slowbro,,0,68.40%,1295,93.17%,214000,238,Slowbro,,0
794,Exeggutor,Normal,103,♂,1494,130,8,13,14,77.8,18.0,18.0,Extrasensory,Solar Beam,,"2020-04-26 07:50","2020-04-26 07:50",4/13/2020,80.83kg,1.7m,0,0,0,2200,94.97%,207,97.49%,0,0,Exeggutor,Normal,0,,,,,,,,
795,Magneton,,82,,1506,90,0,10,2,26.7,24.0,24.0,Charge Beam,Magnet Bomb,,"2020-04-26 07:50","2020-04-26 07:50",3/22/2020,44.2kg,0.88m,0,0,1,3500,,,,,,,,,74.41%,1049,96.61%,56000,148,Magnezone,,0
796,Flareon,,136,♂,1522,100,5,6,10,46.7,19.0,19.0,Ember,Flamethrower,,"2020-04-26 07:49","2020-04-26 07:49",4/23/2020,27.72kg,0.93m,0,0,1,2500,,,,,,,,,56.70%,1774,96.24%,102000,90,Flareon,,0
797,Aerodactyl,,142,♂,1533,121,11,10,13,75.6,20.0,20.0,Rock Throw,Ancient Power,,"2020-04-26 07:49","2020-04-26 07:49",3/10/2020,60.7kg,2.02m,0,0,1,2500,,,,,,,,,59.83%,1646,96.20%,137000,130,Aerodactyl,,0
798,Omastar,,139,♂,1554,109,14,10,12,80.0,20.0,20.0,Water Gun,Hydro Pump,,"2020-04-26 07:49","2020-04-26 07:49",3/7/2020,18.77kg,0.8m,0,0,1,2500,,,,,,,,,40.51%,2437,95.24%,123000,114,Omastar,,0
799,Jolteon,,135,♀,1595,103,5,9,6,44.4,21.0,21.0,Thunder Shock,Discharge,,"2020-04-26 07:48","2020-04-26 07:48",3/22/2020,26.89kg,0.81m,0,0,1,3000,,,,,,,,,65.35%,1420,96.11%,140000,136,Jolteon,,0
800,Throh,,538,♂,1596,179,6,0,14,44.4,24.0,24.0,Low Kick,Low Sweep,,"2020-04-26 07:48","2020-04-26 07:48",3/16/2020,60.75kg,1.48m,0,0,0,3500,,,,,,,,,24.57%,3090,89.01%,201000,226,Throh,,0
801,Jolteon,,135,♂,1637,108,5,9,15,64.4,21.0,21.0,Volt Switch,Discharge,,"2020-04-26 07:48","2020-04-26 07:48",4/22/2020,21.53kg,0.75m,0,0,0,3000,,,,,,,,,92.87%,293,97.55%,118000,110,Jolteon,,0
802,Vaporeon,,134,♂,1725,172,10,14,12,80.0,20.0,20.0,Water Gun,Hydro Pump,,"2020-04-26 07:48","2020-04-26 07:48",3/19/2020,38.23kg,1.08m,0,0,4,2500,,,,,,,,,35.29%,2651,95.02%,60500,54,Vaporeon,,0
803,Vaporeon,,134,♂,1767,172,15,15,11,91.1,20.0,20.0,Water Gun,Hydro Pump,,"2020-04-26 07:48","2020-04-26 07:48",4/14/2020,45.96kg,1.31m,0,0,0,2500,,,,,,,,,28.01%,2949,94.67%,56000,50,Vaporeon,,0
804,Vaporeon,,134,♂,1795,173,15,6,7,62.2,21.0,21.0,Water Gun,Hydro Pump,,"2020-04-26 07:48","2020-04-26 07:48",4/14/2020,32.05kg,1.14m,0,0,0,3000,,,,,,,,,8.94%,3730,93.50%,60000,54,Vaporeon,,0
805,Throh,,538,♂,2016,193,9,4,4,37.8,30.0,30.0,Low Kick,Low Sweep,,"2020-04-26 07:47","2020-04-26 07:47",4/14/2020,29.61kg,0.99m,0,0,0,5000,,,,,,,,,27.55%,2968,89.33%,150000,182,Throh,,0
806,Jolteon,,135,♂,2017,117,6,12,9,60.0,26.0,26.0,Volt Switch,Thunder,,"2020-04-26 07:47","2020-04-26 07:47",4/19/2020,14.96kg,0.65m,0,0,0,4000,,,,,,,,,57.14%,1756,95.79%,84000,80,Jolteon,,0
807,Pinsir,,127,♀,2364,123,4,15,6,55.6,30.0,30.0,Rock Smash,Superpower,,"2020-04-26 07:47","2020-04-26 07:47",3/29/2020,65.6kg,1.63m,0,0,0,5000,,,,,,,,,70.74%,1199,96.82%,34000,32,Pinsir,,0
808,Exeggutor,Normal,103,♀,2397,164,8,13,12,73.3,29.0,29.0,Bullet Seed,Seed Bomb,,"2020-04-26 07:47","2020-04-26 07:47",4/12/2020,61.96kg,1.55m,0,0,3,5000,,,,,,,,,90.16%,404,97.74%,15000,12,Exeggutor,Normal,0
809,Feebas,,349,♂,111,49,11,1,3,33.3,18.0,18.0,,,,"2020-04-25 23:14","2020-04-25 23:14",4/25/2020,,,0,0,1,0,3.22%,3964,91.66%,2200,102,Milotic,,0,,,,,,,,
810,Feebas,,349,♀,175,64,12,6,9,60.0,26.0,26.0,,,,"2020-04-25 23:13","2020-04-25 23:13",4/25/2020,,,0,0,1,0,78.53%,880,79.43%,186000,214,Feebas,,0,29.26%,2898,95.16%,46000,140,Milotic,,0
811,Murkrow,,198,♀,819,93,12,9,2,51.1,20.0,20.0,,,,"2020-04-25 23:12","2020-04-25 23:12",4/25/2020,,,0,0,2,0,38.68%,2512,94.11%,2500,102,Honchkrow,,0,,,,,,,,
812,Feebas,,349,♀,160,59,8,10,0,40.0,27.0,27.0,,,,"2020-04-25 23:10","2020-04-25 23:10",4/25/2020,,,0,0,1,0,42.17%,2369,67.75%,178000,206,Feebas,,0,41.47%,2398,95.69%,62000,156,Milotic,,0
813,Eevee,,133,♂,677,106,5,8,13,57.8,25.0,25.0,,,,"2020-04-25 23:10","2020-04-25 23:10",4/25/2020,,,0,0,0,0,58.61%,1696,95.02%,12000,35,Umbreon,,0,92.33%,315,98.00%,60000,77,Flareon,,0
814,Feebas,,349,♂,103,51,10,13,15,84.4,15.0,15.0,,,,"2020-04-25 23:09","2020-04-25 23:09",4/25/2020,,,0,0,1,0,30.96%,2828,93.89%,9800,110,Milotic,,0,28.38%,2934,95.11%,91400,182,Milotic,,0
815,Exeggutor,Normal,103,♀,2125,154,5,5,7,37.8,27.0,27.0,Confusion,Seed Bomb,,"2020-04-25 23:06","2020-04-25 23:06",4/12/2020,114.8kg,1.98m,0,0,0,4500,,,,,,,,,60.37%,1624,96.31%,69000,64,Exeggutor,Normal,0
816,Sudowoodo,,185,♂,1453,120,11,10,8,64.4,25.0,25.0,Counter,Stone Edge,,"2020-04-25 23:05","2020-04-25 23:05",4/1/2020,45.77kg,1.35m,0,0,3,4000,31.33%,2813,93.89%,4000,3,Sudowoodo,,0,79.93%,823,92.00%,194000,220,Sudowoodo,,0
817,Sneasel,,215,♂,1139,94,15,15,14,97.8,19.5,19.5,Ice Shard,Avalanche,,"2020-04-25 23:04","2020-04-25 23:04",3/1/2020,25.1kg,0.87m,0,0,0,2500,54.51%,1864,95.11%,37500,33,Sneasel,,0,46.32%,2199,95.55%,67500,160,Weavile,,0
818,Klang,,600,,890,93,15,12,15,93.3,17.0,17.0,Charge Beam,Thunderbolt,,"2020-04-25 23:02","2020-04-25 23:02",1/28/2020,45.66kg,0.56m,0,0,1,2200,73.09%,1103,95.80%,13800,112,Klinklang,,0,,,,,,,,
819,Murkrow,,198,♂,848,98,15,15,15,100.0,19.0,19.0,Feint Attack,Dark Pulse,,"2020-04-25 23:02","2020-04-25 23:02",3/29/2020,2.51kg,0.58m,0,0,2,2500,43.42%,2318,94.33%,0,100,Honchkrow,,0,,,,,,,,
820,Flaaffy,,180,♂,844,112,7,11,11,64.4,21.0,21.0,,,,"2020-04-25 23:02","2020-04-25 23:02",4/10/2020,,,0,0,1,0,78.53%,880,91.78%,220000,244,Flaaffy,,0,67.96%,1313,96.92%,125000,218,Ampharos,,0
821,Croconaw,,159,♂,693,91,6,14,14,75.6,15.0,15.0,,,,"2020-04-25 23:01","2020-04-25 23:01",1/10/2020,,,0,0,0,0,88.79%,460,97.12%,151400,142,Croconaw,,0,94.33%,233,98.36%,144400,234,Feraligatr,,0
822,Seadra,,117,♂,27,15,8,8,15,68.9,1.0,1.0,,,,"2020-04-25 22:54","2020-04-25 22:54",3/1/2020,,,0,0,0,0,87.69%,505,96.76%,88000,94,Seadra,,0,95.63%,180,97.90%,260000,389,Kingdra,,0
823,Exeggutor,Alola,103,♂,1251,119,11,10,15,80.0,15.0,15.0,Dragon Tail,Seed Bomb,,"2020-04-24 21:53","2020-04-24 21:53",4/24/2020,,,0,0,0,0,24.52%,3092,93.58%,9800,10,Exeggutor,Alola,0,20.02%,3276,94.84%,91400,82,Exeggutor,Alola,0
824,Blitzle,,522,♂,484,88,3,5,10,40.0,23.0,23.0,,,,"2020-04-24 14:41","2020-04-24 14:41",4/24/2020,,,0,0,2,0,40.34%,2444,94.71%,3500,53,Zebstrika,,0,28.84%,2915,86.12%,208000,282,Zebstrika,,0
